Year,State,District,Rape Cases,Abduction Cases,Murder Cases,Total Crimes,Population,Crime Rate,Arrests,Crime Clearance Rate
2023,Maharashtra,New Delhi,299,110,16,425,12646993,3.360482606,398,93.65
2023,Delhi,Mumbai,201,31,15,247,15370706,1.606952862,186,75.3
2022,Maharashtra,Kolkata,174,85,18,277,5699708,4.859898086,79,28.52
2020,Bengaluru,Ahmedabad,165,97,36,298,27323727,1.090627205,90,30.2
2021,Kerala,Kolkata,91,18,36,145,3952280,3.668768407,115,79.31
2021,Karnataka,Jaipur,294,35,35,364,19168944,1.898904812,74,20.33
2023,Gujarat,Bengaluru,162,48,29,239,26864614,0.889646135,67,28.03
2020,Maharashtra,Lucknow,163,65,35,263,2565218,10.25253994,203,77.19
2023,Gujarat,Lucknow,128,145,38,311,13145327,2.365859746,308,99.04
2021,Bengaluru,Mumbai,102,125,34,261,12766240,2.044454749,41,15.71
2021,West Bengal,Hyderabad,233,70,46,349,24688695,1.413602461,258,73.93
2023,Bengaluru,Lucknow,184,117,41,342,27007755,1.266302956,238,69.59
2022,Kerala,New Delhi,93,92,21,206,26309848,0.782976777,72,34.95
2023,Gujarat,Kolkata,255,31,12,298,20276297,1.469696365,86,28.86
2021,Rajasthan,Kochi,97,130,41,268,19917715,1.345535871,47,17.54
2020,Delhi,Chennai,62,119,34,215,8087727,2.658348878,140,65.12
2020,Tamil Nadu,Bengaluru,80,32,22,134,14374524,0.932204781,93,69.4
2022,Gujarat,Mumbai,55,12,47,114,6826789,1.669891951,41,35.96
2021,Gujarat,New Delhi,83,53,7,143,12000429,1.191624066,120,83.92
2023,Delhi,Bengaluru,293,91,34,418,16876241,2.476854887,321,76.79
2022,Bengaluru,Ahmedabad,156,142,26,324,8374164,3.869042928,254,78.4
2021,Rajasthan,Ahmedabad,173,139,45,357,27133980,1.315693459,42,11.76
2021,Karnataka,Lucknow,100,52,24,176,1725001,10.20289264,138,78.41
2022,Maharashtra,New Delhi,78,55,34,167,12685941,1.316417915,85,50.9
2021,Kerala,Mumbai,54,20,10,84,24707893,0.339972332,70,83.33
2022,Uttar Pradesh,Lucknow,213,28,36,277,3424697,8.08830679,41,14.8
2023,Uttar Pradesh,Mumbai,196,150,13,359,14429164,2.488016631,130,36.21
2023,Tamil Nadu,Mumbai,110,61,44,215,16322096,1.317232787,115,53.49
2022,Rajasthan,Ahmedabad,192,99,27,318,18010103,1.765675632,272,85.53
2022,West Bengal,Bengaluru,214,104,11,329,21792865,1.509668417,108,32.83
2023,Karnataka,Kolkata,216,143,41,400,22227379,1.799582398,197,49.25
2023,West Bengal,New Delhi,181,20,31,232,29251063,0.793133569,109,46.98
2021,West Bengal,New Delhi,287,66,44,397,18960938,2.093778272,137,34.51
2020,Tamil Nadu,Lucknow,249,35,29,313,18498378,1.692040243,30,9.58
2020,Tamil Nadu,Bengaluru,128,129,34,291,15110460,1.925818274,40,13.75
2022,Tamil Nadu,Hyderabad,117,29,50,196,4875159,4.020381694,131,66.84
2020,Gujarat,Ahmedabad,130,71,48,249,25506342,0.976227795,84,33.73
2022,Uttar Pradesh,Lucknow,262,121,7,390,24742535,1.576232993,161,41.28
2020,Uttar Pradesh,Kochi,242,116,37,395,1570457,25.15191438,307,77.72
2023,Kerala,Kolkata,54,66,49,169,25781863,0.655499566,106,62.72
2023,Maharashtra,Bengaluru,286,14,15,315,2509155,12.55402715,75,23.81
2021,Uttar Pradesh,Kochi,196,123,24,343,14677633,2.336889061,193,56.27
2021,Karnataka,Mumbai,287,82,23,392,14326164,2.736252356,215,54.85
2020,Bengaluru,Kochi,124,130,30,284,10570694,2.686673174,75,26.41
2023,Karnataka,Mumbai,124,116,25,265,22351971,1.185577773,88,33.21
